# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1786
#@/user_id	Alienware Area51 R5
a 	啊	c=12 d=4.53415 t=1786
a ga 	啊噶	c=5 d=2.50494 t=1786
a ga ga 	啊嘎嘎	c=7 d=3.1388 t=1786
a ge ge 	阿哥哥	c=1 d=0.960789 t=1786
a ka 	阿卡	c=0 d=0.0591555 t=1786
a ka jiu ga ga 	阿卡就嘎嘎	c=1 d=0.594521 t=1786
a kai shi 	啊開始	c=1 d=0.582748 t=1786
an pai 	安排	c=1 d=0.276651 t=1786
an zhao 	按照	c=3 d=0.978188 t=1786
an zhuang 	安裝	c=15 d=4.48879 t=1786
ang 	昂	c=1 d=0.250324 t=1786
ao mi 	奧祕	c=1 d=0.000347412 t=1786
ba 	吧	c=7 d=2.02611 t=1786
bai du 	百度	c=1 d=0.704688 t=1786
bai fei 	白費	c=0 d=0.0151072 t=1786
bai guang 	白光	c=1 d=0.574072 t=1786
ban ben 	版本	c=3 d=0.423274 t=1786
ban ben guan li 	版本管理	c=1 d=1 t=1786
ban ge 	半個	c=1 d=0.287941 t=1786
ban gong shi 	辦公室	c=1 d=0.358796 t=1786
ban yan 	扮演	c=1 d=1 t=1786
bao 	包	c=2 d=1.84995 t=1786
bao cuo 	報錯	c=3 d=0.793179 t=1786
bei fen 	備份	c=1 d=0.856415 t=1786
bei gai 	杯蓋	c=1 d=0.10435 t=1786
bei hou 	背後	c=1 d=0.444858 t=1786
bi 	筆	c=1 d=0.0769192 t=1786
bi ji ben 	筆記本	c=1 d=0.67032 t=1786
bi jiao 	比較	c=2 d=1.21425 t=1786
bi ru 	比如	c=1 d=0.404542 t=1786
bi xu 	必須	c=1 d=0.474734 t=1786
bi yao 	必要	c=1 d=0.121034 t=1786
bi yao de 	必要的	c=1 d=0.0685632 t=1786
bian cheng 	變成	c=1 d=0.0191587 t=1786
bian de 	變得	c=1 d=0.715338 t=1786
bian yi 	編譯	c=6 d=2.39433 t=1786
bian yi hou 	編譯後	c=1 d=0.501576 t=1786
biao xian 	表現	c=1 d=0.000325548 t=1786
bie 	別	c=2 d=0.985522 t=1786
bie ji 	別急	c=1 d=0.092089 t=1786
bing 	並	c=2 d=0.419924 t=1786
bo 	博	c=1 d=1.06377 t=1786
bo li 	玻璃	c=2 d=0.660112 t=1786
bo li jia ruan jian 	博力加軟件	c=4 d=2.54589 t=1786
bo li qiang 	玻璃牆	c=1 d=0.362402 t=1786
bu 	不	c=6 d=1.33427 t=1786
